endTime,artistName,trackName,msPlayed
2022-10-10 17:00,Aluna,Nowhere to Hide,11110
2022-10-10 17:00,Asake,Sungba (feat. Burna Boy) - Remix,210000
2022-10-10 17:03,Burna Boy,Science,201793
2022-10-10 17:04,Fireboy DML,Bandana,11670
2022-10-10 17:07,Fireboy DML,Bandana,178225
2022-10-10 17:10,Fireboy DML,Peru - Remix,186952
2022-10-10 17:11,Fireboy DML,All Of Us (Ashawo),13522
2022-10-10 17:15,Fireboy DML,Playboy,207474
2022-10-10 17:15,Fireboy DML,Playboy,5415
2022-10-10 17:15,Fireboy DML,Peru,1590
2022-10-10 17:19,Fireboy DML,Jealous,216699
2022-10-10 17:22,SPINALL,Sere - Remix,194181
2022-10-10 17:24,Peruzzi,Southy Love,105469
2022-10-12 01:49,Elevation Worship,Worthy,371616
2022-10-12 02:45,Elevation Worship,Worthy,371616
2022-10-12 03:41,Brooke Ligertwood,Honey In The Rock - Live,12557
2022-10-12 03:42,FOUNT,Oasis,54590
2022-10-12 03:46,Mosaic MSC,"This Is How I Thank The Lord (feat. Cody Carnes, Amanda Cook, Joe L Barnes)",221274
2022-10-12 03:51,FOUNT,My Whole World,347142
2022-10-12 03:58,Phil Wickham,Worthy of My Song,371640
2022-10-12 04:12,Maverick City Music,"Joy of the Lord (feat. Dante Bowe, Katie Torwalt & Mav City Gospel Choir)",862146
2022-10-12 04:17,The Belonging Co,Just The Mention Of His Name - Live,310333
2022-10-12 04:22,ICF Worship,Spirit Of God - Live,269234
2022-10-12 16:44,Future,WAIT FOR U (feat. Drake & Tems),36560
2022-10-12 16:44,Wizkid,Essence (feat. Tems),3877
2022-10-12 16:45,Tems,Free Mind,12260
2022-10-12 16:48,Trinix,She Said (Big Jet Plane),173750
2022-10-12 16:49,Lonely in the Rain,Crowded Room,67330
2022-10-13 13:25,Ayra Starr,Beggie Beggie,208500
2022-10-13 13:28,L.A.X,Go Low,173635
2022-10-13 13:32,ElGrandeToto,Comforter (feat. Ayra Starr),7200
2022-10-13 13:32,Kizz Daniel,Buga (Lo Lo Lo),11918
2022-10-13 13:32,Manny Norté,Worth My While,205045
2022-10-13 13:32,Ayra Starr,ASE - A COLORS SHOW,2290
2022-10-13 13:35,Ayra Starr,ASE - A COLORS SHOW,164571
2022-10-13 13:38,Davido,Stand Strong (feat. Sunday Service Choir),182791
2022-10-13 13:42,Ayra Starr,Away,169400
2022-10-13 13:45,Chike,Roju,198000
2022-10-13 13:49,Ayra Starr,Rush,185093
2022-10-13 14:22,L.A.X,Sempe - Remix,18653
2022-10-13 14:26,Mavins,Overloading (OVERDOSE),205000
2022-10-13 14:28,Kizz Daniel,Ada,149743
2022-10-13 14:31,Ayra Starr,Memories,155150
2022-10-13 14:34,M Huncho,Pray 2 The East (ft. BNXN fka Buju),178064
2022-10-13 14:37,Skip Marley,Jane,202372
2022-10-13 14:41,Tion Wayne,Who's True,216013
2022-10-13 14:43,Ayra Starr,Bloody Samaritan,114968
2022-10-13 20:28,Maverick City Music,Bless Me,272348
2022-10-13 20:30,Maverick City Music,Bless Me,39100
2022-10-15 10:31,Adekunle Gold,FYE,25749
2022-10-15 10:32,Fireboy DML,Go Away,53546
2022-10-15 10:35,Fireboy DML,Need You,221538
2022-10-15 10:39,Skales,Shake Body,208933
2022-10-15 10:43,Ayra Starr,Beggie Beggie,208500
2022-10-15 10:43,JAE5,Propeller (feat. Dave & BNXN),7512
2022-10-15 10:46,Mavins,Overloading (OVERDOSE),205000
2022-10-15 10:50,Skip Marley,Jane,853
2022-10-15 10:50,Camidoh,Sugarcane - Remix,237422
2022-10-15 10:52,Magixx,All Over,81088
2022-10-15 10:55,Ayra Starr,Rush,185093
2022-10-15 10:56,Magixx,Shaye,277
2022-10-15 10:56,Adekunle Gold,"Dior, Dior, Dior",1749
2022-10-15 10:56,Ayra Starr,Cast (Gen Z Anthem),277
2022-10-15 10:56,King Promise,Commando,234
2022-10-15 10:56,Ayra Starr,Fashion Killer,213
2022-10-15 10:56,Cheque,Dangerous (feat. Ayra Starr),21
2022-10-15 10:56,Wizkid,Mood (feat. BNXN),1557
2022-10-15 10:56,Timaya,Cold Outside,66716
2022-10-15 10:56,L.A.X,Options,5311
2022-10-15 10:56,Ayra Starr,ASE - A COLORS SHOW,1344
2022-10-15 10:59,Timaya,Don Dada,208040
2022-10-15 11:00,NATIVE Sound System,Runaway (with Lojay & Ayra Starr),31950
2022-10-15 15:36,Adekunle Gold,FYE,210000
2022-10-15 15:39,Adekunle Gold,High,193758
2022-10-15 15:42,Adekunle Gold,Selah,193250
2022-10-15 15:46,Adekunle Gold,"Dior, Dior, Dior",196750
2022-10-15 15:48,Adekunle Gold,One Woman,160799
2022-10-15 15:52,Adekunle Gold,More Than Enough,188000
2022-10-15 15:54,Adekunle Gold,It Is What It Is,174587
2022-10-15 15:58,Adekunle Gold,Mase Mi,192000
2022-10-15 16:01,Adekunle Gold,Sinner,174117
2022-10-15 16:02,Adekunle Gold,Born Again,111500
